Tabl e_Research 广发海外研究小组,1
"欧亚菲： 首席分析师，2011-2014 年新财富批发零售行业第三名,第二名,第二名和第三名，2015 年新财富海外研究（团队）第六名。",1
韩 玲： 首席分析师，工商管理硕士，电力系统自动化学士，12 年证券从业经验，6 年电力行业从业经验，获 2010 年及 2011 年新财富最佳分析师第五名，2012 年新财富电力设备和新能源行业最佳分析师第二名，2015 年新财富海外研究团队入围，2011 年进入广发证券发展研究中心。,1
惠毓伦： 发展研究中心总经理助理，中国科学技术大学计算机辅助设计硕士、计算机高级工程师，32 年计算机、光电、集成电路、军工领域工作和研究经历，13 年证券研究所从业经历。,1
刘 峤： 研究助理，中央财经大学经济学硕士，厦门大学理学学士，2016年进入广发证券发展研究中心。,1
张晓飞： 研究助理，统计学硕士，2016年进入广发证券发展研究中心。,1
陈佳妮： 联系人，上海财经大学国际商务硕士，中央财经大学会计学学士、法学学士，2017年进入广发证券发展研究中心。,1
Tabl e_RatingIndustr y 广发证券—行业投资评级说明,4
买入： 预期未来 12 个月内，股价表现强于大盘 10%以上。,4
持有： 预期未来 12 个月内，股价相对大盘的变动幅度介于-10%～+10%。,4
卖出： 预期未来 12 个月内，股价表现弱于大盘 10%以上。,4
Tabl e_RatingCompany 广发证券—公司投资评级说明,4
买入： 预期未来 12 个月内，股价表现强于大盘 15%以上。,4
谨慎增持： 预期未来 12 个月内，股价表现强于大盘 5%-15%。,4
持有： 预期未来 12 个月内，股价相对大盘的变动幅度介于-5%～+5%。,4
卖出： 预期未来 12 个月内，股价表现弱于大盘   5%以上。,4
Table_Address 联系我们,1
广州市 深圳市 北京市 上海市,1
地址 广州市天河区林和西路 9号耀中广场 A 座 1401,1
深圳市福田区福华一路6号免税商务大厦 17 楼,1
北京市西城区月坛北街 2 号月坛大厦 18 层,1
上海市浦东新区世纪大道 8号汇丰银行大楼 16 楼,1
邮政编码 510620 518000 100045 200120,1
客服邮箱 gfyf@gf.com.cn,1
服务热线,3
Tabl e_Disclai mer 免责声明,4
广发证券股份有限公司（以下简称“广发证券”）具备证券投资咨询业务资格。本报告只发送给广发证券重点客户，不对外公开发布，只有接收客户才可以使用，且对于接收客户而言具有相关保密义务。广发证券并不因相关人员通过其他途径收到或阅读本报告而视其为广发证券的客户。本报告的内容、观点或建议并未考虑个别客户的特定状况，不应被视为对特定客户关于特定证券或金融工具的投资建议。本报告发送给某客户是基于该客户被认为有能力独立评估投资风险、独立行使投资决策并独立承担相应风险。,4
本报告所载资料的来源及观点的出处皆被广发证券股份有限公司认为可靠，但广发证券不对其准确性或完整性做出任何保证。报告内容仅供参考，报告中的信息或所表达观点不构成所涉证券买卖的出价或询价。广发证券不对因使用本报告的内容而引致的损失承担任何责任，除非法律法规有明确规定。客户不应以本报告取代其独立判断或仅根据本报告做出决策。,4
广发证券可发出其它与本报告所载信息不一致及有不同结论的报告。本报告反映研究人员的不同观点、见解及分析方法，并不代表广发证券或其附属机构的立场。报告所载资料、意见及推测仅反映研究人员于发出本报告当日的判断，可随时更改且不予通告。,4
本报告旨在发送给广发证券的特定客户及其它专业人士。未经广发证券事先书面许可，任何机构或个人不得以任何形式翻版、复制、刊登、转载和引用，否则由此造成的一切不良后果及法律责任由私自翻版、复制、刊登、转载和引用者承担。,4
《汽车 2020-用 3~5年视角选择优质汽车资产—2018 汽车行业年度策略报告（PPT）》 2017/11/22 ,5
《上汽集团（600104）点评：Q3 实际扣非净利环比增 13%好于销量增幅，同比增 5%》 2017/11/03 ,5
12-0801-0802-0803-0804-0805-0806-0807-0808-0809-0810-0811-08-20%0%20%40%60%上汽集团 沪深300指数 ,2
"0.0%2.0%4.0%6.0%8.0%10.0%12.0%14.0%16.0%18.0%0100,000200,000300,000400,000500,000600,000700,000800,0001月 2月 3月 4月 5月 6月 7月 8月 9月 10月 11月 12月上汽集团销量稳步上涨2016 2017 YoY ",2
百万元，百万股 2014A 2015A 2016A 2017E 2018E 2019E ,2
"营业收入 626,712 661,374 746,237 852,400 920,319 998,118 ",2
  营业收入同比增长率（yoy） ,3
11.25% 5.53% 12.83% 12.70%          8.00%          8.50%          ,2
"    减：营业成本 549,236 585,833 650,218 724,613 785,397 853,747 ",2
  毛利率（%） 12.36% 11.42% 12.87% 15.00%          14.70%          14.50%          ,2
    减：营业税金及附加 ,2
"3,757 5,598 7,521 8,524 9,203 9,981 ",2
"主营业务利润 73,719 69,943 88,498 119,263 125,719 134,390 ",2
  主营业务利润率（%） ,3
  经营性利润同比增长率（yoy） ,3
    减：资产减值损失 ,3
"4,400 2,848 3,209 2,925 2,910 2,926 ",2
    加：投资收益及其他 ,3
"27,835 29,663 30,572 33,245 35,160 37,579 ",2
"营业利润 40,334 43,588 48,433 52,920 57,162 63,221 ",2
    加：营业外净收入 ,3
"2,355 2,222 2,059 2,200 2,670 2,300 ",2
"利润总额 42,689 45,810 50,492 55,120 59,832 65,521 ",2
"    减：所得税 4,438 5,736 6,530 7,340 8,226 9,267 ",3
"净利润 38,251 40,074 43,962 47,779 51,606 56,254 ",2
"少数股东损益 10,277 10,280 11,953 13,241 14,291 15,570 ",2
  归属于母公司所有者的净利润 ,3
"27,973 29,794 32,009 34,538 37,315 40,684 ",2
净利润同比增长率（yoy） ,2
12.78% 6.51% 7.43% 9.70%          7.90%          8.90%          ,2
"全面摊薄总股本 11,026 11,026 11,026 11,683 11,683 11,683 ",2
每股收益（元） 2.54 2.70 2.90 2.96           3.19           3.48           ,2
  归属母公司所有者净利润率（%） ,3
4.46% 4.50% 4.29% 4.30%          4.30%          - ,2
【费用及减值】包括销售费用、管理费用、财务费用和资产减值损失 ,0
【投资收益及其他】包括投资收益和公允价值变动收益 ,0
【营业外净收入】营业外收入减营业外支出 ,0
【经营性利润】=主营业务利润-(销售费用+管理费用+财务费用) ,0
【ROE】(摊薄后)=净利润÷所有者权益合计(当年期末值) ,0
证券分析师承诺 ,4
"本报告署名分析师具有中国证券业协会授予的证券投资咨询执业资格并注册为证券分析师，以勤勉的职业态度、专业审慎的研究方法，使用合法合规的信息，独立、客观地出具本报告,并对本报告的内容和观点负责。本人不曾因，不因，也将不会因本报告中的具体推荐意见或观点而直接或间接收到任何形式的补偿。 ",4
与公司有关的信息披露 ,4
本公司隶属于申万宏源证券有限公司。本公司经中国证券监督管理委员会核准，取得证券投资咨询业务许可，资格证书编号为：ZX0065。本公司关联机构在法律许可情况下可能持有或交易本报告提到的投资标的，还可能为或争取为这些标的提供投资银行服务。本公司在知晓范围内依法合规地履行披露义务。客户可通过 compliance@swsresearch.com 索取有关披露资料或登录www.swsresearch.com 信息披露栏目查询从业人员资质情况、静默期安排及其他有关的信息披露。 ,1
机构销售团队联系人 ,1
上海  陈陶  021-23297221  18930809221  chentao@swsresearch.com  ,1
北京  李丹  010-66500610  18930809610  lidan@swsresearch.com  ,1
股票投资评级说明  ,4
证券的投资评级：  ,4
以报告日后的 6个月内，证券相对于市场基准指数的涨跌幅为标准，定义如下：  ,4
买入（Buy） ,4
增持（Outperform） ,4
看淡 (Underweight) ,4
：行业超越整体市场表现； ,4
：行业与整体市场表现基本持平； ,4
：行业弱于整体市场表现。 ,4
我们在此提醒您，不同证券研究机构采用不同的评级术语及评级标准。我们采用的是相对评级体系，表示投资的相对比重建议；投资者买入或者卖出证券的决定取决于个人的实际情况，比如当前的持仓结构以及其他需要考虑的因素。投资者应阅读整篇报告，以获取比较完整的观点与信息，不应仅仅依靠投资评级来推断结论。申银万国使用自己的行业分类体系，如果您对我们的行业分类有兴趣，可以向我们的销售员索取。 ,4
本报告采用的基准指数 ：沪深300指数  ,4
法律声明 ,4
